1	20151011	21	Elections in Belarus
2	20151019	3	Elections in Canada
3	20150618	10	Elections in Denmark
4	20150705	20	Elections in Greece
5	20150522	19	Elections in the Republic of Ireland
6	20151025	21	Elections in Poland
7	20151004	20	Elections in Portugal
8	20150911	18	Elections in Singapore
9	20151220	20	Elections in Slovenia
10	20151220	23	Elections in Spain
11	20150817	10	Elections in Sri Lanka
12	20150507	14	Elections in the United Kingdom
13	20151206	15	Elections in Venezuela
14	20160702	14	Elections in Australia
15	20160515	2	Elections in the Dominican Republic
16	20160406	20	Elections in the Netherlands
17	20161207	10	Elections in Ghana
18	20160904	5	Elections in Hong Kong
19	20161002	19	Elections in Hungary
20	20161029	23	Elections in Iceland
21	20161204	0	Elections in Italy
22	20160225	3	Elections in Jamaica
23	20160509	14	Elections in the Philippines
24	20160509	12	Elections in the Philippines
25	20160509	12	Elections in the Philippines
26	20161211	21	Elections in Romania
27	20160918	19	Elections in Russia
28	20160413	14	Elections in South Korea
29	20160626	22	Elections in Spain
30	20160116	15	Elections in Taiwan
31	20160522	21	Elections in Tajikistan
32	20160623	5	Elections in the United Kingdom
33	20161108	17	2016 United States elections
34	20161108	18	2016 United States elections
35	20161108	8	2016 United States elections
36	20171015	20	Elections in Austria
37	20170326	20	Elections in Bulgaria
38	20170315	21	Elections in the Netherlands
39	20170924	17	Elections in Germany
40	20171028	12	Elections in Iceland
41	20170519	15	Elections in Iran
42	20171022	18	Elections in Japan
43	20170808	18	Elections in Kenya
44	20171015	17	Elections in Kyrgyzstan
45	20170603	10	Elections in Malta
46	20170923	12	Elections in New Zealand
47	20170911	20	Elections in Norway
48	20170611	22	Elections in Puerto Rico
49	20170402	21	Elections in Serbia
50	20170509	14	Elections in South Korea
51	20170416	19	Elections in Turkey
52	20170608	6	Elections in the United Kingdom
53	20181230	15	Elections in Bangladesh
54	20181230	19	Elections in the Democratic Republic of the Congo
55	20180128	21	Elections in Finland
56	20181106	23	Elections in Guam
57	20180408	22	Elections in Hungary
58	20181026	20	Elections in the Republic of Ireland
59	20180304	23	Elections in Italy
60	20181006	20	Elections in Latvia
61	20180506	19	Elections in Lebanon
62	20181014	21	Elections in Luxembourg
63	20180930	19	Elections in North Macedonia
64	20180509	14	Elections in Malaysia
65	20180701	3	Elections in Mexico
66	20181104	3	Elections in New Caledonia
67	20180303	15	Elections in Pakistan
68	20180725	19	Elections in Pakistan
69	20180318	19	Elections in Russia
70	20180603	20	Elections in Slovenia
71	20180909	21	Elections in Sweden
72	20180624	21	Elections in Turkey
73	20181106	5	Elections in the United States
74	20181106	16	Elections in the United States
75	20180520	3	Elections in Venezuela
76	20190518	13	Elections in Australia
77	20190526	21	Elections in Belgium
78	20190303	23	Elections in Estonia
79	20190414	21	Elections in Finland
80	20190417	9	Elections in Indonesia
81	20190224	23	Elections in Moldova
82	20190505	3	Elections in Panama
83	20190513	1	Elections in the Philippines
84	20190513	1	Elections in the Philippines
85	20190203	4	Elections in El Salvador
86	20190508	13	Elections in South Africa
87	20190428	21	Elections in Spain
88	20190324	16	Elections in Thailand
89	20190224	23	Elections in Moldova
90	20151101	19	Elections in Turkey
91	20150920	21	Elections in Greece
92	20180525	18	Elections in the Republic of Ireland
